slug,winner,k9_buy_usdc,k9_buy_shares,k9_sell_usdc,k9_sell_shares,k9_net_shares,k9_pnl,us_buy_usdc,us_buy_shares,us_sell_usdc,us_sell_shares,us_net_shares,us_pnl,k9_trades,us_trades,pnl_diff
btc-updown-5m-1772819100,Up,1104.29,3131.62,740.52,1374.64,1756.98,164.53,12.74,13.00,0.00,0.00,13.00,0.26,354,1,164.27
btc-updown-5m-1772817300,Up,2805.32,6724.49,1436.49,3648.31,3076.18,427.37,5.48,10.75,0.00,0.00,10.75,-2.25,752,4,429.62
btc-updown-5m-1772817000,Down,906.24,1967.19,288.94,624.02,1343.17,868.02,24.85,44.03,15.62,27.72,16.31,4.66,224,20,863.36
btc-updown-5m-1772816700,Down,1160.87,2166.88,274.99,722.68,1444.20,499.94,27.92,52.97,5.38,10.26,42.71,4.27,177,17,495.67
sol-updown-5m-1772815200,Down,0.00,0.00,0.00,0.00,0.00,0.00,13.58,14.00,0.00,0.00,14.00,0.42,0,1,-0.42
btc-updown-5m-1772813700,Up,1128.88,2908.61,727.00,1275.15,1633.46,-187.85,64.18,125.27,18.13,40.59,84.68,-52.99,321,35,-134.87
btc-updown-5m-1772813400,Down,1216.35,2918.27,875.45,2149.66,768.61,-47.62,44.85,79.13,18.40,38.35,40.78,-2.33,380,31,-45.29
btc-updown-5m-1772813100,Down,541.00,1318.95,127.83,227.62,1091.33,109.36,32.30,45.43,8.80,14.98,30.45,-6.52,128,13,115.88
btc-updown-5m-1772812800,Up,1109.33,2745.49,400.56,877.51,1867.98,74.35,84.37,139.74,21.69,37.22,102.52,8.33,277,41,66.02
btc-updown-5m-1772812500,Up,1822.16,5554.50,1422.40,2497.68,3056.82,611.58,160.38,385.17,88.58,108.21,276.96,-62.15,670,39,673.73
btc-updown-5m-1772812200,Down,2642.91,7877.10,620.27,1267.70,6609.40,189.05,113.23,150.36,55.15,57.71,92.65,-1.55,1066,35,190.60
btc-updown-5m-1772811900,Down,1710.43,3767.00,461.05,1210.21,2556.79,484.44,76.88,123.89,13.64,24.15,99.74,11.36,296,23,473.07
btc-updown-5m-1772811600,Down,2840.02,7712.25,576.41,943.72,6768.53,1932.82,138.63,247.39,114.74,188.40,58.99,24.82,499,54,1908.00
btc-updown-5m-1772811300,Up,2156.15,5736.59,821.91,1862.14,3874.45,-111.96,100.73,167.99,49.73,58.13,109.86,-39.14,571,35,-72.82
btc-updown-5m-1772811000,Down,2689.82,7195.04,1325.02,4294.01,2901.03,70.41,79.59,162.76,21.17,51.47,111.29,23.19,757,41,47.22